"","MOLECULE_NAME","SMILES","STRUCTURE","FDA_APPROVED"
"1","ABIRATERONE","C[C@]12CC[C@@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]34C)[C@@H]1CC=C2c1cccnc1","http://data.lincscloud.org/pert_images/BRD-K55301415.png",FALSE
"2","ABT737","CN(C)CC[C@H](CSc1ccccc1)Nc2ccc(cc2[N+](=O)[O-])S(=O)(=O)NC(=O)c3ccc(cc3)N4CCN(Cc5ccccc5c6ccc(Cl)cc6)CC4","http://data.lincscloud.org/pert_images/BRD-K56301217.png",FALSE
"3","AC55649","CCCCCCCCc1ccc(cc1)c2ccc(cc2)C(=O)O","http://data.lincscloud.org/pert_images/BRD-K93176058.png",FALSE
"4","AFATINIB","CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1","http://data.lincscloud.org/pert_images/BRD-A58767537.png",FALSE
"5","AGK2","Clc1ccc(Cl)c(c1)c2ccc(/C=C(\C#N)/C(=O)Nc3cccc4ncccc34)o2","http://data.lincscloud.org/pert_images/BRD-K32536677.png",FALSE
"6","ALISERTIB","COc1cc(Nc2ncc3CN=C(c4cc(Cl)ccc4-c3n2)c2c(F)cccc2OC)ccc1C(O)=O","http://data.lincscloud.org/pert_images/BRD-K75295174.png",FALSE
"7","ALVOCIDIB","CN1CC[C@@H]([C@H](O)C1)c1c(O)cc(O)c2c1oc(cc2=O)-c1ccccc1Cl","http://data.lincscloud.org/pert_images/BRD-K87909389.png",FALSE
"8","AM580","CC1(C)CCC(C)(C)c2cc(ccc21)C(=O)Nc3ccc(cc3)C(=O)O","http://data.lincscloud.org/pert_images/BRD-K06854232.png",FALSE
"9","APICIDIN","CCC(C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)CC)NC(=O)[C@H]2CCCCN2C1=O","http://data.lincscloud.org/pert_images/BRD-A63989068.png",FALSE
"10","AT7867","Clc1ccc(cc1)C1(CCNCC1)c1ccc(cc1)-c1cn[nH]c1","http://data.lincscloud.org/pert_images/BRD-K12040459.png",FALSE
