"","MOLECULE_NAM","SMILES","STRUCTURE"
"1","CYTARABINE","Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1","http://data.lincscloud.org/pert_images/BRD-A18929998.png"
"2","ETHINYLESTRADIOL","CC12CCC3C(CCc4cc(O)ccc34)C1CCC2(O)C#C","http://data.lincscloud.org/pert_images/BRD-A43286952.png"
"3","ITRACONAZOLE","CCC(C)n1ncn(c2ccc(cc2)N3CCN(CC3)c4ccc(OCC5COC(Cn6cncn6)(O5)c7ccc(Cl)cc7Cl)cc4)c1=O","http://data.lincscloud.org/pert_images/BRD-A34817987.png"
"4","MIFEPRISTONE","CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@@]21C)c5ccc(cc5)N(C)C","http://data.lincscloud.org/pert_images/BRD-K37270826.png"
"5","ELESCLOMOL","CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1","http://data.lincscloud.org/pert_images/BRD-K82135108.png"
"6","NAVITOCLAX","CC1(C)CCC(=C(CN2CCN(CC2)c3ccc(cc3)C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc6ccccc6)c(c4)S(=O)(=O)C(F)(F)F)C1)c7ccc(Cl)cc7","http://data.lincscloud.org/pert_images/BRD-K82746043.png"
"7","PUROMYCIN","COc1ccc(C[C@H](N)C(=O)N[C@H]2[C@@H](O)C(O[C@@H]2CO)n3cnc4c(ncnc34)N(C)C)cc1","http://data.lincscloud.org/pert_images/BRD-A28970875.png"
"8","CHROMOMYCINA3","CO[C@@H]([C@H]1Cc2cc3cc(OC4CC(OC5CC(O)C(OC)C(C)O5)C(OC(C)=O)C(C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1OC1CC(OC2CC(OC3CC(C)(O)C(C)C(C)O3)C(O)C(C)O2)C(O)C(C)O1)C(=O)[C@@H](O)[C@@H](C)O","http://data.lincscloud.org/pert_images/BRD-A11702965.png"
"9","ARTEMETHER","CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3","http://data.lincscloud.org/pert_images/BRD-K39621635.png"
"10","DIBENZOYLMETHANE","O=C(CC(=O)c1ccccc1)c2ccccc2","http://data.lincscloud.org/pert_images/BRD-K01555864.png"
"11","NOSCAPINE","COc1ccc2[C@H](OC(=O)c2c1OC)[C@@H]3N(C)CCc4cc5OCOc5c(OC)c34","http://data.lincscloud.org/pert_images/BRD-K89237706.png"
"12","PROCARBAZINE","CNNCc1ccc(cc1)C(=O)NC(C)C","http://data.lincscloud.org/pert_images/BRD-K13032584.png"
"13","ARTESUNATE","C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4","http://data.lincscloud.org/pert_images/BRD-K79759031.png"
"14","TEGAFUR","Fc1cn(C2CCCO2)c(=O)[nH]c1=O","http://data.lincscloud.org/pert_images/BRD-A79903587.png"
"15","BACCATINIII","CC(=O)O[C@@H]1C2=C(C)[C@@H](O)C[C@@](O)([C@@H](OC(=O)c3ccccc3)C3[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)OC(C)=O)C2(C)C","http://data.lincscloud.org/pert_images/BRD-A84189516.png"
"16","CELECOXIB","Cc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F","http://data.lincscloud.org/pert_images/BRD-K02637541.png"
"17","AZACITIDINE","Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1","http://data.lincscloud.org/pert_images/BRD-K03406345.png"
"18","FLUCONAZOLE","OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F","http://data.lincscloud.org/pert_images/BRD-K05977355.png"
"19","NOBILETIN","COc1ccc(cc1OC)c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2","http://data.lincscloud.org/pert_images/BRD-K06753942.png"
"20","OXIDOPAMINE","NCCc1cc(O)c(O)cc1O","http://data.lincscloud.org/pert_images/BRD-K41809988.png"
"21","FULVESTRANT","C[C@]12CC[C@H]3[C@@H]([C@H]1CC[C@@H]2O)[C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)Cc1cc(O)ccc31","http://data.lincscloud.org/pert_images/BRD-A17828570.png"
"22","PARTHENOLIDE","CC1=CCC[C@@]2(C)O[C@H]2[C@@H]2OC(=O)C(=C)[C@@H]2CC1","http://data.lincscloud.org/pert_images/BRD-K04949373.png"
"23","PODOPHYLLOTOXIN","COc1cc(cc(OC)c1OC)C1C2C(COC2=O)C(O)c2cc3OCOc3cc12","http://data.lincscloud.org/pert_images/BRD-A16746338.png"
"24","PRIMA1","OCC1(CO)N2CCC(CC2)C1=O","http://data.lincscloud.org/pert_images/BRD-K15318909.png"
"25","DECITABINE","Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1","http://data.lincscloud.org/pert_images/BRD-K79254416.png"
"26","FLUVASTATIN","CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c(c2ccc(F)cc2)c3ccccc13","http://data.lincscloud.org/pert_images/BRD-K66296774.png"
"27","LAVENDUSTINA","OC(=O)c1cc(ccc1O)N(Cc2ccccc2O)Cc3cc(O)ccc3O","http://data.lincscloud.org/pert_images/BRD-K23583188.png"
"28","METHOTREXATE","CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O","http://data.lincscloud.org/pert_images/BRD-A55424491.png"
"29","NONOXYNOL9","CCCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1","http://data.lincscloud.org/pert_images/BRD-K88625236.png"
"30","RHAMNETIN","COc1cc(O)c2c(=O)c(O)c(oc2c1)c3ccc(O)c(O)c3","http://data.lincscloud.org/pert_images/BRD-K37206356.png"
"31","TERREICACID","CC1C(=O)[C@H]2O[C@H]2C(=O)C1=O","http://data.lincscloud.org/pert_images/BRD-A64228451.png"
